,mahalle,fiyat,brut_alan_m2,net_alan_m2,oda_sayisi,bina_yas,dairenin_bulundugu_kat,bina_kat_sayisi,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,aidat,depozito,sahibi
1,Bayındır Mh.,15000.0,90.0,80.0,2+1,21-25 arası,Giriş Katı,4.0,Klima,1.0,0,0,Açık Otopark,1,0,100,15000,0
2,Çaybaşı Mh.,29000.0,145.0,135.0,3+1,0,1,5.0,Kombi (Doğalgaz),1.0,1,1,Kapalı Otopark,0,1,1500,30000,0
3,Güzeloba Mh.,24750.0,145.0,130.0,3+1,11-15 arası,3,4.0,Klima,1.0,1,0,Açık Otopark,0,0,500,25000,1
4,Şirinyalı Mh.,30000.0,230.0,200.0,3+1,5-10 arası,2,3.0,Doğalgaz Sobası,2.0,0,0,Açık Otopark,1,0,0,30000,0
5,Çağlayan Mh.,37500.0,320.0,300.0,4+2,16-20 arası,8,8.0,Klima,3.0,1,1,Açık Otopark,0,1,0,37500,0
6,Kızılsaray Mh.,25000.0,140.0,130.0,3+1,26-30 arası,Giriş Altı Kot 2,10.0,Klima,1.0,1,1,Yok,1,0,0,50000,1
7,Zerdalilik Mah.,13000.0,120.0,115.0,3+1,31 ve üzeri,1,3.0,Klima,1.0,1,0,Açık Otopark,0,0,100,13000,0
8,Kızılarık Mh.,14000.0,100.0,90.0,2+1,5-10 arası,3,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,0,0
9,Meydankavağı Mh.,25000.0,155.0,145.0,3+1,11-15 arası,6,9.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,1,0,25000,0
10,Yenigün Mh.,11500.0,85.0,80.0,2+1,21-25 arası,4,4.0,Klima,1.0,1,0,Yok,0,0,0,22000,0
11,Meltem Mah.,24000.0,130.0,120.0,3+1,26-30 arası,1,8.0,Klima,1.0,1,1,Açık Otopark,1,1,0,44000,0
12,Elmalı Mh.,15800.0,40.0,35.0,1+1,31 ve üzeri,4,4.0,Yerden Isıtma,1.0,0,0,Yok,1,0,0,0,0
13,Güvenlik Mh.,11000.0,25.0,20.0,Stüdyo (1+0),1,1,5.0,Klima,1.0,0,0,Açık Otopark,1,0,0,10000,0
14,Gebizli Mah.,15000.0,70.0,60.0,1+1,5-10 arası,Giriş Katı,4.0,Klima,1.0,0,1,Açık Otopark,0,0,0,0,0
15,Muratpaşa Mh.,12500.0,100.0,95.0,2+1,21-25 arası,4,4.0,Klima,1.0,1,0,Yok,0,0,0,0,0
16,Çağlayan Mh.,13000.0,70.0,60.0,1+1,11-15 arası,Giriş Katı,11.0,Yok,1.0,0,1,Açık Otopark,0,1,1200,13000,0
17,Güzeloba Mh.,15000.0,75.0,70.0,1+1,21-25 arası,Yüksek Giriş,2.0,Klima,1.0,1,0,Açık Otopark,1,1,0,15000,0
18,Çağlayan Mh.,55000.0,245.0,225.0,4+1,5-10 arası,4,4.0,Kombi (Doğalgaz),3.0,1,1,Açık & Kapalı Otopark,0,1,2000,60000,0
19,Güzeloba Mh.,17000.0,65.0,60.0,1+1,5-10 arası,Yüksek Giriş,2.0,Kombi (Elektrik),1.0,1,0,Açık Otopark,1,0,0,30000,0
20,Güzeloba Mh.,29000.0,170.0,160.0,3+1,5-10 arası,2,2.0,Klima,2.0,1,0,Açık Otopark,1,0,0,0,0
21,Çağlayan Mh.,18000.0,60.0,55.0,1+1,11-15 arası,Giriş Katı,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,18000,0
22,Etiler Mah.,13500.0,120.0,110.0,3+1,21-25 arası,Giriş Katı,3.0,Yok,1.0,1,0,Açık Otopark,0,0,50,20000,0
23,Fener Mah.,40000.0,200.0,190.0,3+1,16-20 arası,1,11.0,Klima,1.0,1,1,Açık Otopark,0,0,0,40000,0
25,Güzeloba Mh.,40000.0,210.0,180.0,4+1,5-10 arası,2,3.0,Klima,2.0,1,0,Açık Otopark,1,0,50,50000,0
26,Şirinyalı Mh.,25000.0,165.0,150.0,3+1,21-25 arası,3,4.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,0,0,50000,0
27,Yüksekalan Mh.,16000.0,105.0,95.0,2+1,11-15 arası,4,5.0,Klima,2.0,1,1,Açık Otopark,0,0,100,16000,0
28,Güzeloba Mh.,45000.0,160.0,150.0,3+1,11-15 arası,Giriş Katı,4.0,Klima,1.0,1,0,Açık Otopark,0,1,0,80000,0
29,Çağlayan Mh.,55000.0,120.0,110.0,2+1,5-10 arası,7,10.0,Kombi (Doğalgaz),2.0,1,1,Açık & Kapalı Otopark,0,1,2910,50000,1
30,Güzeloba Mh.,15000.0,90.0,80.0,2+1,16-20 arası,2,3.0,Klima,1.0,1,1,Açık Otopark,1,0,100,15000,0
31,Meydankavağı Mh.,16500.0,150.0,140.0,3+1,16-20 arası,1,8.0,Klima,1.0,1,1,Açık Otopark,0,0,0,16500,0
32,Elmalı Mh.,25000.0,150.0,140.0,3+1,31 ve üzeri,4,7.0,Klima,1.0,1,1,Yok,0,1,500,25000,0
33,Varlık Mh.,15000.0,135.0,125.0,3+1,21-25 arası,1,5.0,Klima,1.0,1,0,Açık Otopark,1,0,0,0,0
34,Fener Mah.,19000.0,50.0,45.0,1+1,16-20 arası,3,15.0,Klima,1.0,0,1,Açık Otopark,1,0,750,19000,0
35,Konuksever Mah.,15000.0,100.0,90.0,2+1,16-20 arası,3,3.0,Yok,1.0,1,0,Açık Otopark,0,0,100,15000,1
37,Doğuyaka Mh.,20000.0,100.0,85.0,2+1,5-10 arası,1,5.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,300,30000,1
39,Fener Mah.,70000.0,210.0,190.0,3+1,21-25 arası,11,13.0,Kombi (Doğalgaz),1.0,1,1,Açık & Kapalı Otopark,0,1,70000,0,0
40,Bayındır Mh.,18000.0,145.0,130.0,3+1,21-25 arası,2,4.0,Klima,1.0,1,0,Açık Otopark,1,0,70,20000,0
41,Haşimişcan Mh.,24000.0,135.0,125.0,3+1,21-25 arası,6,7.0,Yok,2.0,1,1,Yok,0,0,0,27000,0
42,Yüksekalan Mh.,23000.0,120.0,110.0,2+1,4,3,4.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,0,0,23000,0
43,Gençlik Mh.,26000.0,145.0,120.0,3+1,26-30 arası,5,7.0,Klima,1.0,1,1,Yok,1,0,165,50000,0
45,Şirinyalı Mh.,30000.0,170.0,160.0,2+1,16-20 arası,Yüksek Giriş,6.0,Klima,2.0,1,1,Yok,1,0,0,0,0
46,Çaybaşı Mh.,16000.0,85.0,70.0,2+1,11-15 arası,1,5.0,Klima,1.0,0,1,Yok,0,0,300,16000,0
47,Güzeloba Mh.,30000.0,90.0,85.0,2+1,5-10 arası,1,2.0,Klima,2.0,1,0,Açık Otopark,1,1,1200,30000,0
48,Yüksekalan Mh.,21000.0,100.0,90.0,2+1,26-30 arası,4,7.0,Klima,1.0,1,1,Yok,0,0,250,25000,0
50,Güzeloba Mh.,21000.0,55.0,50.0,1+1,3,2,2.0,Klima,1.0,0,1,Kapalı Otopark,1,1,1000,35000,0
51,Elmalı Mh.,15000.0,60.0,50.0,1+1,31 ve üzeri,1,7.0,Klima,1.0,0,1,Yok,1,0,250,0,0
52,Kızılarık Mh.,18500.0,130.0,120.0,3+1,5-10 arası,2,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,18500,0
53,Güzeloba Mh.,13500.0,55.0,50.0,1+1,5-10 arası,Yüksek Giriş,2.0,Klima,1.0,1,0,Açık Otopark,1,0,200,25000,0
54,Fener Mah.,21000.0,70.0,60.0,1+1,5-10 arası,Bahçe Katı,2.0,Klima,1.0,0,0,Yok,1,0,0,21000,0
55,Yeşilbahçe Mh.,95000.0,195.0,185.0,3+1,11-15 arası,10,10.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,1,0,95000,0
56,Bayındır Mh.,24500.0,100.0,95.0,2+1,4,1,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,0,0,1
57,Fener Mah.,48000.0,185.0,175.0,3+1,26-30 arası,9,10.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,300,48000,0
58,Güzeloba Mh.,35000.0,95.0,90.0,2+1,2,2,2.0,Klima,1.0,1,0,Kapalı Otopark,0,1,1000,50000,0
59,Sedir Mah.,22000.0,105.0,90.0,2+1,0,3,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,350,44000,0
60,Yeşilbahçe Mh.,15000.0,75.0,60.0,1+1,11-15 arası,Yüksek Giriş,4.0,Klima,1.0,1,0,Açık Otopark,1,1,200,25000,0
61,Sinan Mah.,20000.0,110.0,100.0,2+1,4,3,4.0,Klima,2.0,1,0,Yok,1,0,0,30000,0
62,Çağlayan Mh.,20000.0,160.0,130.0,3+1,21-25 arası,3,6.0,Klima,2.0,1,1,Açık Otopark,0,0,0,0,0
63,Fener Mah.,27000.0,230.0,220.0,3+1,21-25 arası,2,8.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,300,0,0
64,Etiler Mah.,15000.0,110.0,100.0,2+1,16-20 arası,3,3.0,Klima,1.0,1,0,Açık Otopark,1,0,150,15000,0
65,Deniz Mah.,15000.0,100.0,85.0,2+1,31 ve üzeri,1,4.0,Klima,1.0,1,0,Yok,0,0,0,15000,0
66,Deniz Mah.,25000.0,152.0,140.0,3+1,26-30 arası,6,7.0,Kombi (Doğalgaz),1.0,1,1,Yok,0,0,0,0,0
67,Kızılarık Mh.,13000.0,100.0,90.0,2+1,5-10 arası,3,4.0,Soba,1.0,1,1,Yok,0,0,0,0,0
68,Gençlik Mh.,42500.0,105.0,95.0,2+1,5-10 arası,2,6.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,1500,35000,0
69,Çaybaşı Mh.,21500.0,100.0,90.0,2+1,5-10 arası,Bahçe Katı,5.0,Klima,1.0,1,0,Açık Otopark,0,0,150,21500,1
70,Etiler Mah.,13500.0,145.0,140.0,3+1,21-25 arası,Giriş Katı,3.0,Klima,1.0,1,0,Açık Otopark,0,0,0,20000,0
71,Çağlayan Mh.,15000.0,80.0,65.0,1+1,16-20 arası,4,4.0,Klima,1.0,1,1,Açık Otopark,1,0,100,15000,0
73,Güzeloba Mh.,25000.0,110.0,100.0,2+1,0,2,2.0,Kombi (Doğalgaz),2.0,1,0,Yok,1,0,1000,25000,0
74,Güzeloba Mh.,20000.0,105.0,90.0,2+1,21-25 arası,Villa Tipi,2.0,Klima,1.0,1,0,Açık Otopark,1,0,0,20000,0
75,Güzeloba Mh.,19000.0,65.0,60.0,1+1,11-15 arası,Yüksek Giriş,6.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,1000,19000,0
76,Çağlayan Mh.,20000.0,70.0,60.0,1+1,4,3,3.0,Klima,1.0,1,1,Açık Otopark,1,0,0,20000,0
77,Fener Mah.,80000.0,210.0,190.0,3+1,21-25 arası,11,13.0,Kombi (Doğalgaz),1.0,1,1,Açık & Kapalı Otopark,1,1,0,160000,0
78,Meydankavağı Mh.,25000.0,110.0,90.0,2+1,4,1,4.0,Klima,1.0,1,1,Açık Otopark,1,0,0,25000,0
79,Çağlayan Mh.,15000.0,45.0,40.0,1+1,5-10 arası,Yüksek Giriş,4.0,Klima,1.0,1,1,Açık Otopark,0,0,400,20000,0
81,Fener Mah.,28000.0,180.0,160.0,3+1,16-20 arası,13,14.0,Klima,2.0,1,1,Açık Otopark,0,0,700,30000,0
82,Güzeloba Mh.,13000.0,80.0,70.0,2+1,16-20 arası,Yüksek Giriş,2.0,Yok,1.0,1,0,Açık Otopark,0,1,50,13000,0
83,Altındağ Mh.,14000.0,130.0,94.0,3+1,31 ve üzeri,7,7.0,Klima,1.0,1,1,Açık Otopark,0,0,150,14000,0
84,Şirinyalı Mh.,75000.0,200.0,180.0,4+1,16-20 arası,5,12.0,Kombi (Doğalgaz),2.0,1,1,Açık & Kapalı Otopark,0,1,0,0,0
85,Muratpaşa Mh.,13000.0,135.0,125.0,2+1,21-25 arası,3,4.0,Klima,1.0,1,0,Açık Otopark,0,0,0,14000,0
86,Güzeloba Mh.,15000.0,85.0,75.0,1+1,16-20 arası,Bahçe Katı,2.0,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,1,1000,20000,0
87,Çağlayan Mh.,35000.0,190.0,175.0,3+1,5-10 arası,3,9.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,1,1000,70000,0
88,Güvenlik Mh.,16000.0,90.0,75.0,2+1,5-10 arası,2,3.0,Yok,1.0,1,1,Açık Otopark,0,0,0,16000,0
89,Şirinyalı Mh.,30000.0,210.0,190.0,5+1,16-20 arası,12,13.0,Yok,2.0,1,1,Açık Otopark,0,0,900,0,0
90,Gebizli Mah.,18500.0,100.0,85.0,2+1,11-15 arası,4,6.0,Klima,1.0,1,1,Açık Otopark,1,1,0,18500,0
91,Fener Mah.,25000.0,115.0,110.0,3+1,11-15 arası,11,13.0,Klima,1.0,1,1,Açık Otopark,1,1,0,25000,0
92,Güzeloba Mh.,17000.0,105.0,90.0,2+1,11-15 arası,1,2.0,Yok,2.0,1,0,Yok,0,0,0,17000,0
93,Elmalı Mh.,12500.0,50.0,40.0,1+1,26-30 arası,3,4.0,Klima,1.0,1,1,Yok,1,0,70,12500,0
94,Güzeloba Mh.,47000.0,160.0,145.0,3+1,11-15 arası,8,10.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,1,0,47000,0
95,Güzeloba Mh.,14000.0,60.0,50.0,1+1,11-15 arası,Bahçe Katı,2.0,Klima,1.0,1,0,Yok,1,0,150,20000,0
96,Varlık Mh.,25000.0,110.0,105.0,3+1,3,3,6.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,0,0
97,Çağlayan Mh.,30000.0,200.0,160.0,4+1,16-20 arası,6,6.0,Klima,2.0,1,1,Açık Otopark,1,1,0,0,0
98,Güzeloba Mh.,14000.0,55.0,45.0,1+1,2,1,2.0,Klima,1.0,1,0,Yok,0,0,0,0,0
99,Güzeloba Mh.,18000.0,55.0,50.0,1+1,5-10 arası,Yüksek Giriş,2.0,Klima,1.0,1,0,Açık Otopark,1,0,0,18500,0
100,Dutlubahçe Mh.,13500.0,85.0,80.0,2+1,5-10 arası,Yüksek Giriş,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,13500,1
101,Bahçelievler Mh.,50000.0,250.0,200.0,3+1,16-20 arası,7,8.0,Klima,2.0,1,1,Açık Otopark,0,0,0,0,0
102,Güzeloba Mh.,31000.0,55.0,45.0,1+1,0,6,8.0,Klima,1.0,0,1,Kapalı Otopark,1,0,0,32500,0
103,Sedir Mah.,16000.0,140.0,130.0,3+1,21-25 arası,4,5.0,Klima,1.0,1,1,Açık Otopark,0,0,100,16000,0
104,Üçgen Mh.,13000.0,100.0,85.0,2+1,16-20 arası,2,5.0,Klima,1.0,1,0,Yok,0,0,0,13000,0
107,Fener Mah.,26000.0,90.0,85.0,2+1,11-15 arası,1,2.0,Kombi (Doğalgaz),1.0,1,0,Yok,1,0,0,50000,0
108,Çağlayan Mh.,28000.0,120.0,110.0,2+1,11-15 arası,3,7.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,0,0
109,Fener Mah.,22000.0,90.0,80.0,2+1,16-20 arası,Bahçe Katı,3.0,Klima,1.0,1,0,Yok,1,0,0,0,0
110,Kızılsaray Mh.,13500.0,100.0,90.0,2+1,21-25 arası,Yüksek Giriş,3.0,Klima,1.0,1,1,Yok,0,0,0,15000,0
112,Şirinyalı Mh.,35000.0,250.0,240.0,4+1,21-25 arası,1,4.0,Klima,2.0,1,0,Yok,0,0,0,0,0
113,Kızılarık Mh.,13000.0,100.0,95.0,2+1,5-10 arası,2,5.0,Klima,1.0,1,1,Açık Otopark,0,0,0,13000,1
114,Fener Mah.,35000.0,95.0,85.0,2+1,4,3,3.0,Klima,1.0,1,0,Açık Otopark,1,0,500,35000,1
115,Güzeloba Mh.,15000.0,55.0,45.0,1+1,11-15 arası,1,3.0,Klima,1.0,1,0,Açık Otopark,1,1,250,13500,0
116,Mehmetçik Mh.,15750.0,130.0,125.0,3+1,11-15 arası,Giriş Katı,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,15750,1
117,Şirinyalı Mh.,25000.0,180.0,165.0,3+1,16-20 arası,3,4.0,Yok,1.0,1,1,Açık Otopark,0,0,300,0,0
118,Güzeloba Mh.,27000.0,95.0,85.0,2+1,5-10 arası,8,8.0,Klima,1.0,1,1,Açık Otopark,1,1,0,0,0
120,Meltem Mah.,50000.0,160.0,150.0,3+1,26-30 arası,4,8.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,800,50000,0
121,Konuksever Mah.,12000.0,70.0,60.0,1+1,5-10 arası,Yüksek Giriş,4.0,Klima,1.0,1,0,Açık Otopark,0,0,0,0,0
122,Güzeloba Mh.,32000.0,120.0,95.0,2+1,2,Bahçe Katı,2.0,Klima,1.0,1,1,Açık Otopark,0,0,1500,30000,0
123,Haşimişcan Mh.,12500.0,60.0,55.0,1+1,26-30 arası,Bodrum Kat,4.0,Klima,1.0,0,0,Açık Otopark,0,0,0,12500,0
124,Güzeloba Mh.,25000.0,120.0,110.0,2+1,5-10 arası,2,2.0,Klima,2.0,1,0,Yok,1,0,200,25000,0
126,Güzeloba Mh.,15000.0,70.0,65.0,1+1,11-15 arası,Bahçe Katı,3.0,Klima,1.0,1,0,Açık Otopark,1,1,0,15500,0
127,Şirinyalı Mh.,21000.0,175.0,165.0,3+1,21-25 arası,3,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,250,21000,0
128,Kışla Mh.,12000.0,135.0,125.0,2+1,21-25 arası,1,4.0,Klima,1.0,1,0,Açık Otopark,0,0,0,24000,0
129,Güzeloba Mh.,22000.0,200.0,190.0,4+2,16-20 arası,2,2.0,Klima,2.0,1,0,Açık Otopark,0,1,350,22000,0
131,Mehmetçik Mh.,20000.0,85.0,80.0,2+1,5-10 arası,3,5.0,Merkezi (Pay Ölçer),2.0,1,1,Açık & Kapalı Otopark,0,1,2000,0,0
132,Muratpaşa Mh.,12500.0,75.0,65.0,1+1,11-15 arası,3,5.0,Klima,1.0,0,1,Açık Otopark,0,0,0,12500,0
133,Fener Mah.,65000.0,280.0,250.0,4+1,21-25 arası,6,10.0,Klima,3.0,1,1,Açık & Kapalı Otopark,0,0,3500,65000,0
134,Güzelbağ Mh.,15000.0,85.0,80.0,2+1,16-20 arası,2,2.0,Klima,1.0,1,0,Yok,0,0,0,15000,0
135,Gebizli Mah.,17000.0,70.0,60.0,1+1,0,4,5.0,Klima,1.0,1,1,Kapalı Otopark,1,1,350,17000,0
136,Yeşilbahçe Mh.,26500.0,170.0,160.0,3+1,21-25 arası,3,4.0,Yok,1.0,1,0,Açık Otopark,0,0,250,25000,0
137,Kızılarık Mh.,20000.0,140.0,120.0,3+1,4,2,5.0,Klima,1.0,1,1,Açık & Kapalı Otopark,1,0,200,50000,1
138,Yeşilbahçe Mh.,20000.0,160.0,150.0,3+1,21-25 arası,5,7.0,Yok,1.0,1,1,Açık Otopark,0,1,250,20000,0
139,Güzeloba Mh.,18000.0,95.0,75.0,2+1,11-15 arası,Bahçe Katı,3.0,Klima,1.0,1,0,Yok,0,0,250,36000,0
140,Varlık Mh.,18000.0,110.0,100.0,2.5+1,21-25 arası,6,7.0,Klima,1.0,1,1,Açık Otopark,0,0,100,19000,0
141,Gençlik Mh.,30000.0,155.0,145.0,3+1,21-25 arası,3,4.0,Klima,1.0,1,0,Açık Otopark,1,1,0,0,0
142,Güzeloba Mh.,20000.0,65.0,55.0,1+1,2,1,2.0,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,0,700,20000,0
143,Güvenlik Mh.,13500.0,60.0,50.0,1+1,0,Bodrum Kat,5.0,Klima,1.0,0,1,Açık Otopark,1,0,0,0,0
144,Yüksekalan Mh.,16000.0,165.0,150.0,3+1,31 ve üzeri,6,7.0,Klima,1.0,1,1,Yok,0,0,0,16000,0
145,Güzeloba Mh.,15000.0,65.0,60.0,1+1,5-10 arası,2,8.0,Klima,1.0,0,1,Açık Otopark,1,1,1000,15000,0
146,Şirinyalı Mh.,30000.0,160.0,150.0,2+1,11-15 arası,Yüksek Giriş,1.0,Klima,2.0,1,1,Açık Otopark,1,0,200,0,0
147,Çağlayan Mh.,22000.0,70.0,56.0,1+1,4,Yüksek Giriş,4.0,Kombi (Doğalgaz),1.0,1,1,Kapalı Otopark,1,0,400,0,0
148,Cumhuriyet Mah.,12000.0,155.0,140.0,3+1,21-25 arası,4,5.0,Klima,1.0,1,0,Açık Otopark,0,0,100,12000,0
149,Zerdalilik Mah.,16000.0,160.0,150.0,3+1,21-25 arası,2,4.0,Yok,1.0,1,0,Yok,0,0,0,16000,0
150,Üçgen Mh.,18000.0,95.0,90.0,2+1,5-10 arası,4,8.0,Yok,1.0,1,1,Yok,0,0,0,18000,1
151,Çağlayan Mh.,100000.0,400.0,350.0,5+1,16-20 arası,9,9.0,Kombi (Doğalgaz),3.0,1,1,Açık & Kapalı Otopark,0,0,2000,120000,0
152,Fener Mah.,26000.0,85.0,75.0,2+1,5-10 arası,1,2.0,Klima,1.0,1,0,Açık Otopark,1,0,100,30000,0
153,Güzeloba Mh.,11000.0,65.0,60.0,1+1,3,6,8.0,Klima,1.0,0,1,Açık Otopark,0,0,700,0,0
154,Kızıltoprak Mh.,12000.0,115.0,110.0,2+1,5-10 arası,Yüksek Giriş,3.0,Klima,1.0,1,1,Açık Otopark,1,0,150,12000,0
155,Yeşilbahçe Mh.,58000.0,180.0,165.0,3+1,16-20 arası,6,10.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,115000,0
156,Güzeloba Mh.,17000.0,60.0,55.0,1+1,11-15 arası,Bahçe Katı,3.0,Klima,1.0,1,0,Yok,1,0,100,30000,1
157,Fener Mah.,17500.0,80.0,75.0,2+1,5-10 arası,Yüksek Giriş,2.0,Klima,1.0,1,0,Yok,1,0,100,15000,0
158,Şirinyalı Mh.,50000.0,235.0,200.0,4+1,16-20 arası,4,4.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,300,100000,0
159,Güzeloluk Mh.,15250.0,120.0,110.0,3+1,21-25 arası,1,3.0,Yok,1.0,1,0,Açık Otopark,0,1,300,16250,0
160,Güzeloba Mh.,30000.0,85.0,70.0,2+1,4,1,1.0,Klima,1.0,1,0,Açık Otopark,1,1,1750,30000,0
162,Gençlik Mh.,27000.0,110.0,100.0,2+1,26-30 arası,1,7.0,Klima,1.0,1,0,Yok,1,0,0,0,0
163,Deniz Mah.,15000.0,50.0,40.0,1+1,1,Giriş Katı,5.0,Klima,1.0,0,1,Açık Otopark,1,0,0,20000,0
