,mahalle,fiyat,brut_alan_m2,net_alan_m2,oda_sayisi,bina_yas,dairenin_bulundugu_kat,bina_kat_sayisi,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,aidat,depozito,sahibi
324,Sinan Mah.,15000.0,140.0,120.0,2+1,21-25 arası,2,4.0,Yok,1.0,1,0,Açık Otopark,0,0,250,30000,0
325,Yenigün Mh.,25000.0,180.0,160.0,6+1,16-20 arası,4,4.0,Klima,2.0,1,1,Açık Otopark,1,0,150,75000,1
326,Muratpaşa Mh.,15000.0,120.0,115.0,3+1,11-15 arası,2,7.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,200,15000,0
327,Kışla Mh.,13000.0,75.0,70.0,1+1,5-10 arası,1,3.0,Klima,1.0,0,0,Yok,1,0,200,5000,1
328,Konuksever Mah.,15750.0,165.0,155.0,3+1,11-15 arası,1,3.0,Klima,1.0,1,1,Açık Otopark,0,0,150,15750,0
329,Bahçelievler Mh.,61000.0,330.0,280.0,4+1,11-15 arası,7,7.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,500,0,0
332,Sedir Mah.,18000.0,95.0,90.0,2+1,11-15 arası,4,4.0,Klima,1.0,1,0,Açık Otopark,0,0,0,18000,0
333,Çağlayan Mh.,28000.0,110.0,100.0,2+1,11-15 arası,1,4.0,Klima,1.0,1,1,Açık Otopark,1,0,450,0,0
334,Güzeloba Mh.,31000.0,180.0,150.0,3+1,5-10 arası,Çatı Katı,2.0,Klima,2.0,1,0,Açık Otopark,0,0,0,0,0
335,Bahçelievler Mh.,19500.0,135.0,125.0,2+1,26-30 arası,1,4.0,Yok,1.0,1,0,Açık Otopark,0,0,0,19500,0
336,Meydankavağı Mh.,29250.0,196.0,174.0,3+1,11-15 arası,7,7.0,Klima,2.0,1,1,Açık Otopark,1,0,0,0,0
337,Kızılarık Mh.,18000.0,90.0,80.0,2+1,5-10 arası,1,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,18000,0
338,Güzeloba Mh.,30000.0,200.0,170.0,3+1,26-30 arası,2,2.0,Klima,1.0,1,0,Açık Otopark,0,1,1400,30000,0
339,Konuksever Mah.,15000.0,120.0,110.0,2+1,11-15 arası,1,3.0,Klima,1.0,1,0,Açık Otopark,0,0,150,15000,0
341,Çağlayan Mh.,25000.0,135.0,130.0,3+1,11-15 arası,2,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,200,25000,0
342,Gebizli Mah.,20000.0,155.0,145.0,3+1,5-10 arası,4,4.0,Klima,1.0,1,1,Açık Otopark,0,0,200,40000,0
343,Şirinyalı Mh.,32000.0,120.0,110.0,2+1,5-10 arası,3,5.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,0,500,70000,0
344,Gebizli Mah.,10500.0,50.0,40.0,1+1,21-25 arası,Yüksek Giriş,11.0,Klima,1.0,0,1,Açık Otopark,0,0,0,0,0
345,Çağlayan Mh.,20000.0,150.0,135.0,2+1,16-20 arası,Bahçe Katı,9.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,1300,0,0
346,Kızıltoprak Mh.,20000.0,150.0,140.0,3+1,5-10 arası,2,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,19500,0
347,Sedir Mah.,14000.0,100.0,90.0,2+1,3,4,5.0,Klima,1.0,1,1,Açık Otopark,0,0,100,14000,1
348,Varlık Mh.,25000.0,107.0,102.0,3+1,3,3,6.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,200,0,0
349,Şirinyalı Mh.,40000.0,180.0,170.0,3+1,11-15 arası,1,2.0,Kombi (Doğalgaz),1.0,1,0,Yok,0,0,200,0,0
350,Çaybaşı Mh.,22500.0,85.0,80.0,2+1,5-10 arası,3,5.0,Klima,1.0,0,1,Açık Otopark,1,0,0,0,0
352,Gençlik Mh.,14000.0,120.0,110.0,3+1,31 ve üzeri,4,4.0,Klima,1.0,1,0,Açık & Kapalı Otopark,0,0,0,0,1
353,Güzeloba Mh.,26000.0,90.0,82.0,2+1,5-10 arası,1,2.0,Klima,1.0,1,0,Açık Otopark,1,0,0,0,0
354,Meydankavağı Mh.,16000.0,120.0,110.0,2+1,16-20 arası,1,4.0,Klima,1.0,1,1,Yok,0,0,0,15000,0
355,Yeşilbahçe Mh.,15000.0,168.0,145.0,1+1,16-20 arası,6,6.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,1,350,17000,0
356,Güzeloba Mh.,30000.0,95.0,85.0,2+1,11-15 arası,2,7.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,800,0,0
357,Güzeloba Mh.,20000.0,95.0,85.0,2+1,5-10 arası,1,2.0,Yok,2.0,1,0,Yok,0,0,1000,20000,0
358,Bahçelievler Mh.,36000.0,200.0,180.0,3+1,16-20 arası,5,7.0,Kat Kaloriferi,1.0,1,1,Açık Otopark,1,0,600,40000,1
359,Çağlayan Mh.,35000.0,120.0,110.0,4+1,5-10 arası,Yüksek Giriş,2.0,Klima,1.0,1,0,Açık Otopark,1,0,0,0,0
360,Soğuksu Mh.,14000.0,115.0,110.0,2+1,21-25 arası,4,4.0,Fancoil Ünitesi,1.0,1,0,Açık Otopark,0,0,0,14000,0
361,Şirinyalı Mh.,30000.0,230.0,210.0,5+1,21-25 arası,12,13.0,Klima,2.0,1,1,Açık Otopark,0,1,0,0,0
363,Güzeloba Mh.,25000.0,100.0,90.0,2+1,21-25 arası,2,2.0,Klima,1.0,1,0,Açık Otopark,1,0,100,50000,0
364,Yenigün Mh.,16000.0,135.0,110.0,3+1,16-20 arası,3,3.0,Klima,1.0,1,0,Açık Otopark,0,0,0,0,0
365,Kışla Mh.,22000.0,200.0,180.0,3+1,31 ve üzeri,2,2.0,Klima,1.0,1,0,Yok,0,0,50,20000,0
366,Güzeloba Mh.,30000.0,170.0,150.0,3+1,11-15 arası,6,8.0,Klima,1.0,1,1,Açık & Kapalı Otopark,0,1,1000,32500,0
367,Yenigün Mh.,15500.0,145.0,140.0,3+1,11-15 arası,2,4.0,Klima,1.0,1,0,Açık Otopark,0,0,0,15500,0
368,Fener Mah.,30000.0,160.0,145.0,3+1,16-20 arası,3,10.0,Klima,1.0,1,1,Açık Otopark,0,0,1000,50000,0
369,Kızılsaray Mh.,14000.0,120.0,110.0,2+1,21-25 arası,4,6.0,Klima,1.0,1,1,Yok,0,0,0,14000,0
370,Bayındır Mh.,15000.0,145.0,130.0,3+1,21-25 arası,3,4.0,Yok,1.0,1,0,Açık Otopark,0,0,100,15000,0
371,Altındağ Mh.,12000.0,120.0,100.0,2+1,11-15 arası,Yüksek Giriş,4.0,Yok,1.0,1,1,Açık Otopark,0,0,100,12000,0
374,Deniz Mah.,23000.0,120.0,110.0,2+1,1,Giriş Katı,5.0,Klima,1.0,1,1,Açık Otopark,1,0,0,46000,0
376,Üçgen Mh.,12000.0,90.0,85.0,2+1,21-25 arası,1,3.0,Klima,1.0,1,0,Yok,1,0,50,15000,0
377,Gençlik Mh.,16000.0,140.0,120.0,3+1,31 ve üzeri,2,5.0,Soba,1.0,1,0,Yok,0,0,0,15000,0
378,Güzeloba Mh.,25000.0,50.0,45.0,1+1,1,1,3.0,Klima,1.0,1,1,Yok,1,0,0,25000,0
379,Etiler Mah.,13000.0,105.0,95.0,2+1,16-20 arası,3,3.0,Yok,1.0,1,0,Açık Otopark,0,0,0,13000,0
380,Bayındır Mh.,25000.0,150.0,145.0,3+1,16-20 arası,6,7.0,Klima,1.0,1,1,Açık Otopark,1,0,250,25000,0
381,Meydankavağı Mh.,26500.0,200.0,185.0,3+1,11-15 arası,6,9.0,Klima,2.0,1,1,Açık Otopark,0,0,0,0,0
382,Kızıltoprak Mh.,15000.0,95.0,80.0,2+1,5-10 arası,2,5.0,Klima,1.0,1,1,Açık Otopark,0,0,0,15000,0
383,Çağlayan Mh.,23000.0,250.0,240.0,5+1,11-15 arası,4,4.0,Klima,2.0,1,1,Açık Otopark,0,0,0,0,0
384,Fener Mah.,40000.0,165.0,145.0,3+1,16-20 arası,2,11.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,0,0
386,Güzeloba Mh.,22500.0,55.0,50.0,1+1,5-10 arası,Giriş Katı,4.0,Klima,1.0,0,1,Kapalı Otopark,1,0,1950,22500,0
387,Kızılarık Mh.,12500.0,85.0,75.0,2+1,5-10 arası,Yüksek Giriş,4.0,Klima,1.0,0,1,Kapalı Otopark,0,1,200,12500,0
388,Fener Mah.,50000.0,150.0,130.0,3+1,5-10 arası,Bahçe Katı,8.0,Yerden Isıtma,2.0,1,1,Kapalı Otopark,0,1,2500,0,1
390,Deniz Mah.,25000.0,75.0,65.0,2+1,4,Giriş Katı,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,150,50000,0
391,Şirinyalı Mh.,26000.0,120.0,100.0,3+1,21-25 arası,1,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,50000,0
393,Bayındır Mh.,18000.0,100.0,90.0,2+1,26-30 arası,4,5.0,Klima,1.0,1,0,Açık Otopark,1,0,50,18000,1
394,Konuksever Mah.,11000.0,90.0,85.0,2+1,11-15 arası,1,4.0,Yok,1.0,1,0,Açık Otopark,0,0,100,11000,0
395,Çağlayan Mh.,28000.0,120.0,110.0,2+1,5-10 arası,1,4.0,Klima,1.0,1,1,Açık Otopark,1,0,450,0,0
396,Güzeloba Mh.,18000.0,55.0,50.0,1+1,5-10 arası,Giriş Katı,2.0,Klima,1.0,1,1,Açık Otopark,0,0,1000,18000,0
397,Kızılarık Mh.,20000.0,140.0,120.0,3+1,5-10 arası,2,5.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,250,20000,1
398,Fener Mah.,28000.0,170.0,160.0,3+1,21-25 arası,2,9.0,Klima,1.0,1,1,Açık Otopark,0,1,2300,30000,0
399,Kışla Mh.,14000.0,80.0,70.0,2+1,21-25 arası,1,3.0,Klima,1.0,1,0,Açık Otopark,0,0,0,0,0
400,Güvenlik Mh.,14250.0,65.0,60.0,1+1,5-10 arası,1,6.0,Kombi (Doğalgaz),1.0,0,0,Yok,1,0,0,0,0
401,Balbey Mah.,14500.0,65.0,55.0,1+1,21-25 arası,3,4.0,Klima,1.0,0,1,Yok,1,0,150,14500,0
403,Deniz Mah.,35000.0,170.0,160.0,3+1,0,3,5.0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,1,1200,35000,0
405,Güvenlik Mh.,12500.0,110.0,100.0,2+1,26-30 arası,2,3.0,Klima,1.0,1,0,Açık Otopark,0,0,100,12500,0
407,Şirinyalı Mh.,23000.0,165.0,160.0,3+1,11-15 arası,1,9.0,Yok,2.0,1,1,Açık Otopark,0,1,2000,23000,0
408,Deniz Mah.,25250.0,85.0,80.0,2+1,31 ve üzeri,2,6.0,Klima,1.0,1,1,Yok,1,0,0,0,0
409,Güzeloba Mh.,17000.0,120.0,100.0,2+1,11-15 arası,5,7.0,Klima,1.0,1,1,Açık Otopark,0,1,0,15000,0
410,Ermenek Mah.,17800.0,60.0,55.0,1+1,11-15 arası,Giriş Katı,4.0,Kombi (Doğalgaz),1.0,1,1,Yok,1,0,0,0,0
411,Güzeloba Mh.,15000.0,85.0,80.0,2+1,5-10 arası,1,2.0,Klima,1.0,1,0,Yok,0,0,100,15000,0
412,Güzeloba Mh.,22500.0,85.0,75.0,2+1,2,Zemin Kat,2.0,Kombi (Doğalgaz),1.0,1,0,Yok,0,0,700,30000,1
413,Muratpaşa Mh.,20000.0,135.0,115.0,3+1,5-10 arası,2,4.0,Klima,2.0,1,1,Açık Otopark,0,0,200,20000,0
414,Demircikara Mah.,16000.0,130.0,110.0,3+1,21-25 arası,1,4.0,Klima,1.0,1,0,Açık Otopark,0,0,100,17000,0
415,Güzeloba Mh.,25000.0,130.0,120.0,3+1,11-15 arası,3,5.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,600,25000,0
416,Güvenlik Mh.,14000.0,125.0,110.0,2+1,16-20 arası,3,3.0,Yok,2.0,1,0,Yok,0,0,0,0,0
417,Haşimişcan Mh.,85250.0,105.0,100.0,2+1,21-25 arası,7,7.0,Klima,1.0,1,1,Açık Otopark,1,0,0,0,0
418,Kızıltoprak Mh.,19500.0,110.0,90.0,3+1,5-10 arası,Giriş Katı,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,0,23000,0
419,Güzeloba Mh.,55000.0,110.0,100.0,2+1,0,Bahçe Katı,2.0,Yerden Isıtma,2.0,1,1,Kapalı Otopark,1,1,0,100000,0
420,Etiler Mah.,16000.0,75.0,70.0,2+1,0,4,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,16000,0
421,Bahçelievler Mh.,21000.0,110.0,90.0,2+1,5-10 arası,Yüksek Giriş,5.0,Klima,2.0,1,1,Kapalı Otopark,1,0,200,21000,0
422,Çağlayan Mh.,200000.0,150.0,130.0,2+1,5-10 arası,Bahçe Katı,3.0,Klima,3.0,1,0,Açık Otopark,1,0,0,38000,0
423,Güzeloba Mh.,25000.0,145.0,130.0,3+1,16-20 arası,6,9.0,Klima,1.0,1,1,Açık Otopark,0,0,400,25000,0
424,Güzelbağ Mh.,13000.0,180.0,160.0,4+1,11-15 arası,Giriş Katı,1.0,Güneş Enerjisi,2.0,1,0,Açık Otopark,0,0,0,0,0
425,Gebizli Mah.,12000.0,100.0,90.0,2+1,11-15 arası,5,5.0,Klima,1.0,1,1,Yok,0,0,50,12000,0
426,Çağlayan Mh.,200000.0,250.0,230.0,3+1,5-10 arası,2,3.0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,1,1,0,0,0
427,Güzeloba Mh.,22000.0,50.0,45.0,1+1,2,1,4.0,Klima,1.0,1,1,Kapalı Otopark,0,1,300,22000,0
428,Çağlayan Mh.,38000.0,200.0,180.0,3+1,11-15 arası,6,8.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,1,300,60000,0
429,Bahçelievler Mh.,40000.0,240.0,220.0,4+1,1,4,4.0,Klima,3.0,1,1,Açık Otopark,1,0,0,50000,0
430,Güzeloba Mh.,17000.0,60.0,50.0,1+1,1,2,3.0,Klima,1.0,0,0,Yok,1,0,0,17000,0
431,Fener Mah.,75000.0,170.0,160.0,3+1,16-20 arası,9,10.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,850,75000,0
432,Bayındır Mh.,25000.0,160.0,145.0,3+1,16-20 arası,5,6.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,0,0,0
433,Üçgen Mh.,16000.0,145.0,135.0,3+1,21-25 arası,2,4.0,Klima,1.0,1,0,Yok,0,0,0,17000,0
434,Güzeloba Mh.,15000.0,55.0,48.0,1+1,4,1,2.0,Klima,1.0,0,0,Açık Otopark,1,0,0,500,0
435,Güzeloba Mh.,21000.0,145.0,130.0,3+1,5-10 arası,2,2.0,Klima,1.0,1,1,Yok,0,0,450,21000,0
436,Kızılarık Mh.,30000.0,280.0,250.0,6+1,5-10 arası,4,4.0,Klima,4.0,1,1,Açık Otopark,0,0,0,30000,0
437,Şirinyalı Mh.,33000.0,280.0,220.0,4+1,16-20 arası,10,10.0,Klima,3.0,1,1,Açık Otopark,1,0,0,0,0
438,Güzeloba Mh.,120000.0,200.0,170.0,4+1,16-20 arası,3,3.0,Kombi (Doğalgaz),2.0,1,0,Açık Otopark,1,1,700,0,0
439,Soğuksu Mh.,11000.0,65.0,50.0,1+1,26-30 arası,4,4.0,Klima,1.0,1,0,Açık Otopark,0,0,0,11000,0
440,Fener Mah.,25000.0,95.0,90.0,2+1,5-10 arası,6,10.0,Klima,1.0,1,1,Açık Otopark,1,0,500,25000,0
441,Tahılpazarı Mh.,20000.0,150.0,130.0,3+1,26-30 arası,4,4.0,Klima,1.0,1,1,Yok,0,0,0,20000,0
442,Güzeloba Mh.,16000.0,120.0,100.0,2+1,16-20 arası,2,2.0,Yok,1.0,1,0,Açık Otopark,0,0,0,17000,0
445,Konuksever Mah.,18000.0,110.0,100.0,2+1,5-10 arası,1,4.0,Yok,2.0,1,1,Açık Otopark,1,0,0,0,1
446,Güzeloba Mh.,15000.0,55.0,50.0,1+1,1,Bahçe Katı,3.0,Klima,1.0,1,1,Açık Otopark,0,1,950,15000,0
447,Çağlayan Mh.,28000.0,120.0,110.0,2+1,5-10 arası,4,7.0,Klima,1.0,1,1,Açık Otopark,1,1,1200,0,0
448,Altındağ Mh.,17250.0,125.0,115.0,2+1,21-25 arası,3,4.0,Klima,1.0,1,0,Yok,1,0,150,20000,0
449,Soğuksu Mh.,15000.0,80.0,75.0,1+1,31 ve üzeri,Giriş Katı,4.0,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,0,100,15000,0
450,Yüksekalan Mh.,10750.0,40.0,35.0,1+1,5-10 arası,3,4.0,Klima,1.0,0,0,Yok,1,0,50,500,0
451,Güzelbağ Mh.,10750.0,80.0,75.0,2+0,11-15 arası,Çatı Katı,3.0,Klima,1.0,1,0,Yok,1,0,50,500,0
452,Yenigöl Mh.,12500.0,100.0,90.0,2+0,11-15 arası,2,4.0,Klima,1.0,1,0,Yok,1,0,50,500,0
453,Konuksever Mah.,12000.0,100.0,90.0,2+1,11-15 arası,4,4.0,Yok,1.0,1,0,Yok,0,0,0,12000,0
454,Dutlubahçe Mh.,18000.0,240.0,230.0,5+1,5-10 arası,3,3.0,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,0,50,18000,0
455,Gebizli Mah.,15000.0,135.0,120.0,3+1,16-20 arası,6,11.0,Klima,1.0,1,1,Açık Otopark,0,1,500,25000,1
456,Güzeloba Mh.,24700.0,115.0,110.0,3+1,16-20 arası,4,7.0,Klima,2.0,1,1,Açık Otopark,1,1,0,0,0
457,Güzeloba Mh.,18000.0,65.0,60.0,1+1,5-10 arası,2,2.0,Klima,1.0,1,1,Açık Otopark,1,1,250,18000,0
458,Kızılarık Mh.,18000.0,100.0,90.0,2+1,3,4,4.0,Klima,1.0,1,1,Açık Otopark,1,0,0,0,0
459,Şirinyalı Mh.,53000.0,180.0,160.0,3+1,26-30 arası,8,8.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,0,60000,0
460,Güzeloluk Mh.,25000.0,145.0,130.0,3+1,11-15 arası,4,4.0,Yok,3.0,1,1,Açık Otopark,0,0,750,25000,0
461,Yenigün Mh.,15000.0,140.0,135.0,3+1,11-15 arası,3,5.0,Klima,1.0,1,0,Açık Otopark,0,1,0,0,0
462,Sedir Mah.,12000.0,125.0,120.0,3+1,11-15 arası,5,5.0,Klima,2.0,1,1,Açık Otopark,0,0,0,12000,0
463,Bahçelievler Mh.,21700.0,125.0,120.0,3+1,26-30 arası,2,5.0,Klima,1.0,1,0,Açık Otopark,1,0,0,0,0
464,Güzeloba Mh.,15000.0,45.0,40.0,1+1,1,1,1.0,Klima,1.0,0,0,Açık Otopark,1,0,200,30000,0
465,Güzeloba Mh.,22500.0,80.0,70.0,2+1,11-15 arası,Bahçe Katı,6.0,Yok,1.0,1,1,Açık Otopark,0,1,900,22500,0
466,Fener Mah.,21000.0,80.0,70.0,2+1,11-15 arası,Giriş Katı,2.0,Klima,1.0,1,1,Yok,1,0,0,42000,0
467,Soğuksu Mh.,12500.0,130.0,120.0,3+1,21-25 arası,2,4.0,Yok,1.0,1,0,Açık Otopark,0,0,100,13500,0
468,Kızıltoprak Mh.,15000.0,85.0,80.0,2+1,5-10 arası,Yüksek Giriş,4.0,Klima,1.0,1,1,Açık Otopark,1,0,0,15000,0
469,Güzeloba Mh.,15000.0,85.0,65.0,1+1,11-15 arası,Bahçe Katı,3.0,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,1,1000,20000,0
470,Fener Mah.,33000.0,110.0,105.0,2+1,5-10 arası,2,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,2500,35000,0
471,Kızılarık Mh.,11000.0,80.0,75.0,2+1,11-15 arası,Yüksek Giriş,1.0,Klima,1.0,1,1,Açık Otopark,0,0,50,25000,1
472,Yüksekalan Mh.,16000.0,165.0,140.0,3+1,16-20 arası,6,7.0,Yok,1.0,1,1,Açık Otopark,0,0,0,16000,0
473,Güzeloba Mh.,18000.0,105.0,90.0,2+1,21-25 arası,Villa Tipi,2.0,Klima,1.0,1,0,Açık Otopark,1,1,0,0,1
475,Güzeloba Mh.,25000.0,140.0,125.0,3+1,16-20 arası,1,7.0,Klima,1.0,1,1,Açık Otopark,1,0,300,20000,0
476,Kızıltoprak Mh.,15000.0,80.0,70.0,2+1,16-20 arası,2,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,0,0
477,Haşimişcan Mh.,32000.0,100.0,85.0,2+1,21-25 arası,1,4.0,Klima,1.0,1,1,Açık Otopark,1,0,50,19000,1
478,Şirinyalı Mh.,30000.0,160.0,145.0,3+1,26-30 arası,2,2.0,Klima,1.0,1,0,Yok,1,1,0,0,0
479,Çağlayan Mh.,55000.0,120.0,110.0,2+1,5-10 arası,9,10.0,Yerden Isıtma,2.0,1,1,Açık & Kapalı Otopark,0,1,3000,55000,0
480,Gençlik Mh.,25000.0,145.0,135.0,4+1,26-30 arası,2,5.0,Klima,1.0,1,1,Açık Otopark,0,0,0,25000,0
481,Şirinyalı Mh.,25000.0,55.0,50.0,1+1,16-20 arası,2,2.0,Klima,1.0,1,0,Açık Otopark,1,0,0,10000,1
485,Güzeloba Mh.,38000.0,210.0,200.0,4+1,11-15 arası,1,9.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,0,0,0,0
486,Şirinyalı Mh.,45000.0,160.0,155.0,2+1,16-20 arası,Bahçe Katı,12.0,Klima,2.0,1,1,Açık & Kapalı Otopark,0,1,2000,45000,0
487,Soğuksu Mh.,15000.0,150.0,130.0,3+1,26-30 arası,1,3.0,Klima,1.0,1,0,Yok,0,0,100,15000,0
488,Kızılarık Mh.,20000.0,110.0,100.0,3+1,11-15 arası,5,7.0,Klima,1.0,1,1,Açık Otopark,0,1,0,60000,0
489,Sinan Mah.,25000.0,100.0,90.0,2+1,5-10 arası,3,5.0,Klima,2.0,1,1,Açık Otopark,1,0,0,75000,0
491,Fener Mah.,22000.0,100.0,75.0,2+1,21-25 arası,1,4.0,Klima,1.0,1,0,Yok,1,0,0,22000,0
492,Meydankavağı Mh.,30000.0,180.0,170.0,3+1,16-20 arası,7,10.0,Klima,3.0,1,1,Açık Otopark,1,1,1000,30000,0
493,Yeşilbahçe Mh.,13500.0,60.0,48.0,1+1,11-15 arası,Giriş Katı,8.0,Klima,1.0,0,1,Açık & Kapalı Otopark,0,0,200,13500,0
494,Çağlayan Mh.,32500.0,160.0,150.0,3+1,11-15 arası,4,10.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,0,0,0
