,mahalle,fiyat,brut_alan_m2,net_alan_m2,oda_sayisi,bina_yas,dairenin_bulundugu_kat,bina_kat_sayisi,isitma_turu,banyo_sayisi,balkon,asansor,otopark,esya_durumu,site_icinde,aidat,depozito,sahibi
495,Güzeloba Mh.,30000.0,90.0,85.0,2+1,11-15 arası,Yüksek Giriş,4.0,Klima,2.0,1,1,Açık Otopark,1,1,1000,35000,0
496,Sedir Mah.,12000.0,120.0,100.0,2+1,21-25 arası,2,4.0,Klima,1.0,1,0,Açık Otopark,0,0,100,14000,0
497,Kızılarık Mh.,16000.0,135.0,130.0,3+1,0,4,4.0,Klima,1.0,1,1,Kapalı Otopark,0,0,150,16000,0
498,Güzeloluk Mh.,30000.0,115.0,110.0,2+1,11-15 arası,2,7.0,Klima,2.0,1,1,Açık Otopark,0,1,0,0,0
499,Etiler Mah.,15000.0,140.0,135.0,1+1,16-20 arası,Yüksek Giriş,3.0,Yok,1.0,1,0,Açık Otopark,0,0,0,9500,0
500,Güzeloba Mh.,30000.0,100.0,95.0,2+1,3,1,2.0,Klima,2.0,1,0,Açık Otopark,1,1,1000,25000,0
501,Demircikara Mah.,17500.0,120.0,115.0,2+1,26-30 arası,3,3.0,Klima,1.0,1,0,Yok,0,0,50,35000,0
502,Güzeloba Mh.,27500.0,120.0,100.0,2+1,0,2,2.0,Yerden Isıtma,2.0,1,0,Açık Otopark,1,0,20,15000,0
503,Gebizli Mah.,17000.0,95.0,80.0,2+1,5-10 arası,Yüksek Giriş,4.0,Klima,1.0,1,1,Açık Otopark,1,0,0,17000,0
504,Bayındır Mh.,13000.0,75.0,65.0,1+1,5-10 arası,3,5.0,Klima,1.0,1,1,Açık Otopark,1,0,0,0,0
505,Muratpaşa Mh.,16000.0,95.0,90.0,2+1,11-15 arası,2,4.0,Klima,1.0,1,1,Açık Otopark,0,0,200,16000,0
506,Kızıltoprak Mh.,14500.0,90.0,78.0,2+1,11-15 arası,4,4.0,Klima,1.0,1,0,Açık Otopark,0,0,0,16000,0
507,Yeşildere Mh.,13000.0,135.0,125.0,3+1,11-15 arası,2,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,13000,0
508,Şirinyalı Mh.,19000.0,85.0,75.0,2+1,5-10 arası,1,5.0,Klima,2.0,1,1,Yok,0,0,1000,0,0
509,Bayındır Mh.,17000.0,150.0,140.0,3+1,16-20 arası,4,10.0,Klima,1.0,1,1,Açık Otopark,0,0,0,16000,0
510,Selçuk Mh.,15000.0,45.0,40.0,1+1,11-15 arası,5,5.0,Klima,1.0,1,0,Açık Otopark,1,0,100,15000,0
511,Yenigün Mh.,26000.0,140.0,130.0,3+1,2,4,4.0,Kombi (Elektrik),1.0,1,1,Açık Otopark,1,0,0,0,0
512,Yüksekalan Mh.,10750.0,50.0,40.0,1+1,5-10 arası,2,4.0,Klima,1.0,0,0,Yok,1,0,0,500,0
513,Yenigöl Mh.,10750.0,100.0,90.0,2+0,0,Giriş Katı,4.0,Klima,1.0,1,0,Yok,1,0,50,500,0
514,Zerdalilik Mah.,24000.0,190.0,175.0,3+1,31 ve üzeri,2,4.0,Klima,1.0,1,0,Açık Otopark,0,0,300,30000,0
515,Kızılarık Mh.,21000.0,150.0,140.0,3+1,4,3,4.0,Klima,1.0,1,1,Açık & Kapalı Otopark,1,0,200,21000,0
517,Altındağ Mh.,14000.0,95.0,90.0,1+1,3,Yüksek Giriş,5.0,Klima,1.0,1,1,Açık Otopark,0,0,0,0,0
518,Çağlayan Mh.,28000.0,95.0,90.0,2+1,11-15 arası,1,2.0,Klima,2.0,1,0,Yok,0,0,0,28000,0
519,Yeşilbahçe Mh.,30000.0,190.0,180.0,3+1,21-25 arası,5,9.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,0,0,1100,30000,0
520,Konuksever Mah.,20000.0,100.0,90.0,2+1,5-10 arası,3,3.0,Klima,1.0,1,0,Açık Otopark,1,0,100,20000,0
521,Güzeloba Mh.,25000.0,85.0,80.0,2+1,5-10 arası,2,2.0,Klima,2.0,1,0,Açık Otopark,1,1,1200,50000,0
522,Sinan Mah.,13000.0,125.0,120.0,3+1,21-25 arası,3,5.0,Klima,1.0,1,0,Yok,0,0,0,14500,0
523,Kışla Mh.,14800.0,65.0,60.0,1+1,5-10 arası,2,4.0,Klima,1.0,0,1,Yok,1,0,0,0,0
525,Güzeloba Mh.,15000.0,45.0,40.0,1+1,1,Yüksek Giriş,1.0,Klima,1.0,1,0,Açık Otopark,1,0,200,30000,0
526,Güzeloba Mh.,20000.0,60.0,50.0,1+1,2,Bahçe Katı,3.0,Klima,1.0,1,1,Kapalı Otopark,1,1,0,0,0
527,Soğuksu Mh.,18900.0,60.0,50.0,1+1,4,3,6.0,Kombi (Doğalgaz),1.0,1,1,Yok,1,0,1,20000,1
528,Yüksekalan Mh.,14500.0,70.0,65.0,1+1,21-25 arası,3,7.0,Klima,1.0,0,1,Yok,1,0,100,30000,1
529,Gençlik Mh.,90000.0,250.0,220.0,4+1,11-15 arası,3,6.0,Yerden Isıtma,2.0,1,1,Kapalı Otopark,0,0,0,180000,0
530,Güzeloba Mh.,27500.0,105.0,100.0,2+1,5-10 arası,3,3.0,Klima,1.0,1,1,Kapalı Otopark,1,1,500,27500,0
531,Varlık Mh.,20500.0,130.0,120.0,3+1,26-30 arası,1,7.0,Klima,1.0,1,1,Yok,0,0,0,20500,1
532,Topçular Mh.,17000.0,55.0,50.0,1+1,0,5,8.0,Klima,1.0,1,1,Açık Otopark,1,0,1250,17000,0
533,Güzeloba Mh.,22000.0,110.0,100.0,2+1,21-25 arası,3,3.0,Klima,1.0,1,0,Yok,1,0,100,22000,0
534,Güzeloba Mh.,16000.0,65.0,60.0,1+1,5-10 arası,1,8.0,Klima,1.0,0,1,Açık Otopark,0,1,1000,16000,0
535,Kızılarık Mh.,18500.0,140.0,130.0,3+1,5-10 arası,2,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,200,15000,0
536,Memurevleri Mah.,15000.0,150.0,140.0,3+1,26-30 arası,6,8.0,Yok,1.0,1,1,Yok,0,0,0,0,0
537,Güzeloba Mh.,20000.0,135.0,130.0,3+1,5-10 arası,1,2.0,Klima,1.0,1,0,Yok,0,0,150,20000,0
538,Meydankavağı Mh.,21500.0,130.0,105.0,3+1,16-20 arası,9,9.0,Klima,1.0,1,1,Açık Otopark,1,1,600,65000,0
539,Demircikara Mah.,12000.0,70.0,65.0,2+1,26-30 arası,Bahçe Katı,3.0,Yok,1.0,0,0,Yok,0,0,50,24000,0
541,Bahçelievler Mh.,40000.0,240.0,230.0,4+1,1,5,5.0,Klima,3.0,1,1,Açık Otopark,1,1,0,80000,1
542,Gençlik Mh.,20000.0,110.0,100.0,2+1,26-30 arası,3,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,20000,0
543,Gebizli Mah.,12000.0,90.0,85.0,2+1,5-10 arası,4,4.0,Klima,1.0,1,0,Yok,0,0,50,12000,0
544,Varlık Mh.,15000.0,120.0,110.0,2+1,21-25 arası,1,5.0,Klima,1.0,1,1,Açık Otopark,0,0,0,30000,0
545,Zerdalilik Mah.,30000.0,83.0,75.0,2+1,0,1,3.0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,1,0,0,0,0
546,Çağlayan Mh.,55000.0,165.0,150.0,3+1,5-10 arası,4,6.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,1,0,110000,0
547,Gebizli Mah.,14000.0,100.0,90.0,2+1,5-10 arası,3,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,0,0
548,Kızılarık Mh.,16000.0,110.0,100.0,2+1,2,Yüksek Giriş,4.0,Klima,1.0,1,1,Açık Otopark,0,0,100,20000,0
549,Cumhuriyet Mah.,12000.0,140.0,130.0,3+1,21-25 arası,4,5.0,Yok,1.0,1,0,Açık Otopark,0,0,0,12000,0
550,Şirinyalı Mh.,26500.0,165.0,145.0,3+1,21-25 arası,2,4.0,Kombi (Doğalgaz),2.0,1,0,Açık Otopark,1,0,200,26500,0
551,Yeşilbahçe Mh.,20000.0,85.0,75.0,2+1,16-20 arası,Giriş Katı,8.0,Klima,1.0,1,1,Açık Otopark,1,1,0,0,0
552,Meydankavağı Mh.,14500.0,70.0,65.0,2+1,5-10 arası,Giriş Katı,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,0,0
553,Çağlayan Mh.,55000.0,100.0,90.0,2+1,0,2,3.0,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,1,0,0,0,0
554,Yenigün Mh.,14500.0,145.0,125.0,3+1,21-25 arası,3,3.0,Klima,1.0,1,0,Açık Otopark,0,0,100,15000,0
555,Güzeloba Mh.,21000.0,90.0,80.0,2+1,5-10 arası,1,2.0,Klima,1.0,1,0,Açık Otopark,0,1,650,21000,0
556,Altındağ Mh.,11000.0,35.0,30.0,1+1,26-30 arası,Giriş Katı,4.0,Klima,1.0,0,0,Yok,0,0,0,22000,0
558,Güzeloba Mh.,72000.0,220.0,195.0,4+1,21-25 arası,7,7.0,Merkezi,3.0,1,1,Açık Otopark,1,1,0,0,0
559,Meltem Mah.,22000.0,140.0,130.0,3+1,21-25 arası,2,8.0,Klima,1.0,1,1,Açık Otopark,0,1,500,44000,0
560,Çağlayan Mh.,40000.0,395.0,370.0,5+2,11-15 arası,4,4.0,Kombi (Doğalgaz),4.0,1,1,Açık Otopark,1,0,75,100000,1
561,Meydankavağı Mh.,30000.0,180.0,160.0,3+1,11-15 arası,2,4.0,Klima,1.0,1,1,Açık Otopark,1,0,50,30000,0
562,Varlık Mh.,12000.0,45.0,40.0,1+1,11-15 arası,Zemin Kat,4.0,Klima,1.0,1,0,Açık Otopark,1,0,30,12000,0
563,Meydankavağı Mh.,19500.0,140.0,130.0,3+1,11-15 arası,2,4.0,Klima,2.0,1,0,Açık Otopark,1,0,0,0,0
565,Yenigün Mh.,25000.0,110.0,100.0,2+1,2,1,4.0,Klima,2.0,1,1,Kapalı Otopark,1,1,500,40000,0
566,Güzeloba Mh.,55000.0,115.0,100.0,2+1,5-10 arası,3,3.0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,1,1,0,0,0
567,Kırcami Mh.,25000.0,260.0,250.0,3+1,11-15 arası,5,10.0,Klima,1.0,1,1,Açık Otopark,1,0,0,25000,0
568,Meltem Mah.,15000.0,80.0,70.0,2+1,16-20 arası,10,15.0,Klima,1.0,1,1,Açık Otopark,0,1,0,0,0
569,Deniz Mah.,50000.0,180.0,170.0,3+1,5-10 arası,3,5.0,Kombi (Doğalgaz),3.0,1,1,Açık Otopark,1,0,500,80000,0
570,Bayındır Mh.,25000.0,160.0,150.0,3+1,16-20 arası,3,7.0,Klima,1.0,1,1,Açık Otopark,0,0,200,25000,0
571,Güzeloba Mh.,25000.0,100.0,75.0,2+1,5-10 arası,2,3.0,Klima,1.0,1,1,Kapalı Otopark,1,1,1100,80000,0
572,Şirinyalı Mh.,55000.0,175.0,150.0,3+1,16-20 arası,3,5.0,Yok,2.0,1,1,Açık Otopark,0,1,1000,100000,0
573,Çağlayan Mh.,20000.0,90.0,85.0,2+1,16-20 arası,9,13.0,Klima,1.0,1,1,Açık Otopark,1,1,1600,25000,0
574,Çağlayan Mh.,60000.0,196.0,190.0,3+1,11-15 arası,2,6.0,Kombi (Doğalgaz),2.0,1,1,Kapalı Otopark,0,0,0,60000,0
575,Güzeloba Mh.,20000.0,55.0,40.0,1+1,0,Yüksek Giriş,2.0,Kombi (Doğalgaz),1.0,1,1,Yok,1,0,0,20000,0
577,Altındağ Mh.,15000.0,120.0,115.0,3+1,26-30 arası,1,4.0,Klima,1.0,1,1,Açık Otopark,1,0,0,25000,1
579,Kızılarık Mh.,15000.0,70.0,60.0,2+1,16-20 arası,Yüksek Giriş,4.0,Klima,1.0,1,0,Açık Otopark,1,0,50,15000,0
581,Şirinyalı Mh.,30000.0,250.0,220.0,3+1,16-20 arası,Çatı Katı,2.0,Klima,2.0,1,0,Yok,0,0,0,60000,0
582,Kızıltoprak Mh.,27000.0,155.0,145.0,3+1,5-10 arası,1,5.0,Klima,2.0,1,1,Açık Otopark,1,0,0,23000,0
583,Çağlayan Mh.,25000.0,65.0,60.0,1+1,21-25 arası,2,2.0,Klima,1.0,0,0,Yok,0,0,75,25000,0
584,Gebizli Mah.,14000.0,75.0,70.0,2+1,5-10 arası,Yüksek Giriş,4.0,Klima,1.0,0,1,Açık Otopark,1,0,0,14000,0
585,Güzeloba Mh.,25000.0,150.0,130.0,4+1,3,1,3.0,Kombi (Doğalgaz),2.0,1,0,Yok,0,0,0,25000,0
586,Konuksever Mah.,11000.0,75.0,65.0,2+0,5-10 arası,Yüksek Giriş,3.0,Klima,1.0,1,0,Açık Otopark,0,0,0,11000,0
587,Sedir Mah.,12000.0,95.0,85.0,2+1,5-10 arası,Yüksek Giriş,5.0,Klima,1.0,0,1,Açık Otopark,0,0,0,11000,0
588,Çağlayan Mh.,30000.0,80.0,60.0,1+1,5-10 arası,1,2.0,Klima,1.0,1,0,Açık Otopark,0,0,0,0,0
589,Güzeloba Mh.,46000.0,165.0,145.0,3+1,16-20 arası,1,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,0,100,0,1
590,Güzeloba Mh.,19000.0,100.0,90.0,2+1,16-20 arası,3,9.0,Klima,1.0,1,1,Açık Otopark,1,0,0,19000,0
591,Altındağ Mh.,12750.0,105.0,90.0,2+1,31 ve üzeri,2,5.0,Klima,1.0,1,0,Yok,0,0,0,0,0
592,Yüksekalan Mh.,20000.0,100.0,90.0,2+1,0,3,3.0,Klima,1.0,1,1,Açık & Kapalı Otopark,0,1,0,0,0
593,Çağlayan Mh.,20000.0,170.0,160.0,3+1,21-25 arası,1,4.0,Klima,1.0,1,0,Açık Otopark,0,0,150,22000,0
594,Bayındır Mh.,18000.0,145.0,130.0,3+1,21-25 arası,3,4.0,Klima,1.0,1,0,Açık Otopark,1,0,100,18000,0
595,Güzeloba Mh.,33000.0,115.0,105.0,2+1,5-10 arası,1,2.0,Klima,2.0,1,1,Kapalı Otopark,0,1,1500,33000,0
596,Üçgen Mh.,16000.0,120.0,100.0,3+1,26-30 arası,Giriş Katı,5.0,Klima,1.0,1,0,Yok,1,0,100,16000,0
597,Yeşilbahçe Mh.,42000.0,195.0,185.0,3.5+1,16-20 arası,5,10.0,Kombi (Doğalgaz),2.0,1,1,Açık & Kapalı Otopark,1,1,1100,85000,0
598,Güzeloba Mh.,29000.0,175.0,160.0,3+1,21-25 arası,6,12.0,Kombi (Doğalgaz),1.0,1,1,Açık & Kapalı Otopark,0,1,0,50000,0
599,Çağlayan Mh.,25000.0,175.0,160.0,3+1,16-20 arası,2,4.0,Klima,1.0,1,1,Açık Otopark,0,1,0,0,0
600,Güzeloba Mh.,32000.0,85.0,80.0,1+1,11-15 arası,3,9.0,Kat Kaloriferi,1.0,1,1,Açık Otopark,1,1,0,32000,0
602,Yeşilbahçe Mh.,25000.0,240.0,220.0,4+1,16-20 arası,4,4.0,Klima,3.0,1,1,Açık Otopark,0,0,0,25000,0
603,Konuksever Mah.,15000.0,80.0,70.0,2+1,0,2,5.0,Klima,1.0,1,1,Açık Otopark,0,0,200,15000,0
604,Bahçelievler Mh.,17500.0,50.0,45.0,1+1,21-25 arası,Giriş Katı,4.0,Klima,1.0,1,0,Açık Otopark,1,0,0,35000,0
605,Çağlayan Mh.,35000.0,200.0,180.0,3+1,26-30 arası,4,4.0,Klima,1.0,1,0,Yok,1,0,0,0,0
606,Yeşilbahçe Mh.,45000.0,175.0,165.0,3+1,26-30 arası,9,9.0,Merkezi,1.0,1,1,Açık Otopark,0,0,1250,50000,0
607,Çağlayan Mh.,55000.0,350.0,280.0,4+1,5-10 arası,2,2.0,Klima,2.0,1,0,Açık Otopark,1,0,0,0,0
608,Güzeloba Mh.,14500.0,80.0,70.0,2+1,21-25 arası,Giriş Katı,6.0,Klima,1.0,1,1,Açık Otopark,1,1,550,50000,0
609,Güzeloba Mh.,60000.0,115.0,100.0,2+1,1,2,6.0,Yerden Isıtma,2.0,1,1,Açık & Kapalı Otopark,1,1,3000,200000,1
610,Güzeloba Mh.,25000.0,160.0,150.0,3+1,11-15 arası,5,10.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,0,250,25000,0
611,Yüksekalan Mh.,12000.0,100.0,95.0,2+1,11-15 arası,Yüksek Giriş,4.0,Yok,1.0,1,1,Açık Otopark,0,0,0,12000,0
612,Fener Mah.,28000.0,180.0,155.0,3+1,21-25 arası,12,12.0,Klima,1.0,1,1,Açık Otopark,0,0,500,30000,0
613,Güzeloba Mh.,12000.0,120.0,100.0,2+1,26-30 arası,1,1.0,Soba,1.0,1,0,Açık Otopark,0,0,0,11000,0
614,Fener Mah.,20000.0,125.0,100.0,2+1,11-15 arası,8,8.0,Klima,1.0,1,1,Açık Otopark,1,0,400,0,0
615,Cumhuriyet Mah.,17000.0,170.0,155.0,3+1,26-30 arası,1,4.0,Yok,1.0,1,1,Açık Otopark,0,0,0,17500,0
616,Güzeloba Mh.,17000.0,100.0,90.0,2+1,16-20 arası,3,9.0,Klima,1.0,1,1,Açık Otopark,0,0,0,17000,0
617,Çağlayan Mh.,60000.0,165.0,140.0,2+1,16-20 arası,6,10.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,1,1500,120000,0
618,Güzeloba Mh.,29000.0,130.0,120.0,3+1,4,2,2.0,Klima,2.0,1,0,Açık Otopark,1,1,750,29000,0
619,Şirinyalı Mh.,27500.0,180.0,165.0,3+1,21-25 arası,3,8.0,Klima,1.0,1,1,Açık Otopark,0,0,150,30000,0
620,Sinan Mah.,26000.0,130.0,120.0,2+1,26-30 arası,5,6.0,Klima,1.0,1,1,Açık Otopark,1,0,0,0,0
621,Çağlayan Mh.,40000.0,115.0,105.0,2+1,4,2,5.0,Klima,2.0,1,1,Açık & Kapalı Otopark,1,1,1000,0,0
622,Fener Mah.,27500.0,150.0,135.0,3+1,5-10 arası,2,2.0,Klima,2.0,1,0,Yok,0,0,0,0,0
623,Yüksekalan Mh.,25000.0,150.0,145.0,4+1,11-15 arası,3,4.0,Klima,2.0,1,0,Yok,1,0,150,25000,0
624,Fener Mah.,25000.0,75.0,70.0,2+1,11-15 arası,Bahçe Katı,2.0,Klima,1.0,1,1,Açık Otopark,1,0,200,0,0
625,Şirinyalı Mh.,85000.0,220.0,200.0,3+1,11-15 arası,10,15.0,Merkezi,2.0,1,1,Kapalı Otopark,1,1,0,0,0
626,Meydankavağı Mh.,16000.0,140.0,125.0,3+1,21-25 arası,1,10.0,Yok,1.0,1,1,Açık Otopark,0,0,0,0,0
627,Yeşilbahçe Mh.,35000.0,175.0,160.0,3+1,16-20 arası,3,5.0,Klima,1.0,1,1,Açık Otopark,0,0,300,105000,0
628,Kızılarık Mh.,14000.0,90.0,80.0,2+1,3,4,7.0,Klima,1.0,1,1,Açık & Kapalı Otopark,0,1,500,14000,0
629,Yıldız Mh.,15000.0,135.0,125.0,3+1,16-20 arası,1,4.0,Klima,1.0,1,0,Yok,0,0,20,16000,0
630,Güzeloba Mh.,25000.0,110.0,100.0,2+1,11-15 arası,2,3.0,Klima,1.0,1,0,Açık Otopark,1,0,0,50000,0
631,Güzeloba Mh.,18000.0,50.0,47.0,1+1,5-10 arası,Yüksek Giriş,2.0,Klima,1.0,1,0,Açık Otopark,1,0,100,30000,0
632,Çağlayan Mh.,20000.0,105.0,100.0,2+1,5-10 arası,6,14.0,Kombi (Doğalgaz),1.0,1,1,Açık & Kapalı Otopark,0,0,0,1600,0
633,Sinan Mah.,20000.0,80.0,75.0,2+1,0,4,5.0,Klima,1.0,1,0,Açık Otopark,0,0,100,19000,0
634,Yeşilova Mh.,19000.0,65.0,55.0,1+1,4,8,10.0,Klima,1.0,1,1,Kapalı Otopark,1,1,2100,30000,0
635,Güzeloba Mh.,13000.0,75.0,70.0,2+1,11-15 arası,Yüksek Giriş,4.0,Kombi (Doğalgaz),1.0,1,0,Açık Otopark,0,0,0,0,0
636,Çağlayan Mh.,20000.0,75.0,70.0,1+1,4,Yüksek Giriş,4.0,Klima,1.0,1,1,Açık Otopark,1,0,0,20000,0
637,Kışla Mh.,13000.0,60.0,50.0,1+1,2,1,4.0,Klima,1.0,0,1,Açık Otopark,1,0,0,26000,0
638,Şirinyalı Mh.,70000.0,185.0,170.0,3+1,11-15 arası,15,15.0,Kombi (Doğalgaz),2.0,1,1,Açık & Kapalı Otopark,0,1,7000,100000,0
639,Bayındır Mh.,14000.0,50.0,40.0,1+1,5-10 arası,5,5.0,Yok,1.0,1,1,Açık Otopark,0,0,250,15000,0
640,Yeşildere Mh.,14500.0,120.0,110.0,2+1,4,Yüksek Giriş,4.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,0,1,150,0,0
641,Sinan Mah.,20000.0,95.0,85.0,2+1,2,1,4.0,Klima,1.0,1,1,Kapalı Otopark,0,1,500,20000,0
642,Şirinyalı Mh.,40000.0,220.0,200.0,3+1,11-15 arası,Çatı Katı,2.0,Klima,2.0,1,0,Kapalı Otopark,0,1,0,70000,0
643,Çağlayan Mh.,30000.0,220.0,200.0,3+1,16-20 arası,5,8.0,Kombi (Doğalgaz),2.0,1,1,Açık Otopark,1,0,0,30000,0
644,Kızıltoprak Mh.,19000.0,85.0,75.0,2+1,0,2,3.0,Klima,1.0,1,1,Açık Otopark,0,0,0,0,0
645,Kızıltoprak Mh.,19500.0,150.0,140.0,3+1,5-10 arası,2,4.0,Klima,1.0,1,1,Açık Otopark,0,0,0,0,0
646,Varlık Mh.,10250.0,45.0,40.0,1+1,26-30 arası,Yüksek Giriş,5.0,Klima,1.0,0,0,Açık Otopark,1,0,50,10000,0
647,Güzeloba Mh.,20000.0,165.0,155.0,3+1,16-20 arası,9,11.0,Klima,2.0,1,1,Açık Otopark,1,1,75,20000,0
648,Fener Mah.,17000.0,75.0,65.0,1+1,11-15 arası,Bahçe Katı,2.0,Klima,1.0,1,0,Yok,1,0,0,18000,0
650,Muratpaşa Mh.,14000.0,90.0,75.0,2+1,31 ve üzeri,3,3.0,Klima,1.0,1,0,Yok,1,0,0,28000,0
651,Ermenek Mah.,19250.0,80.0,70.0,1+1,16-20 arası,1,1.0,Klima,1.0,1,0,Açık Otopark,1,0,0,19500,0
652,Varlık Mh.,20000.0,160.0,150.0,3+1,26-30 arası,6,7.0,Klima,2.0,1,1,Yok,0,0,0,20000,0
653,Güzeloba Mh.,19000.0,70.0,65.0,1+1,11-15 arası,Yüksek Giriş,6.0,Kombi (Doğalgaz),1.0,1,1,Açık Otopark,1,1,1000,19000,0
655,Muratpaşa Mh.,13000.0,140.0,130.0,3+1,21-25 arası,4,4.0,Klima,1.0,1,0,Açık Otopark,0,0,0,13000,0
657,Doğuyaka Mh.,11500.0,60.0,50.0,1+1,5-10 arası,Çatı Katı,5.0,Klima,1.0,1,1,Açık Otopark,1,0,250,11500,1
